"","word","freq"
"tratar","tratar",75
"pueda","pueda",75
"historia","historia",75
"domicilios","domicilios",75
"realmente","realmente",75
"vayan","vayan",75
"mes","mes",75
"medicinas","medicinas",75
"gran","gran",75
"profesionales","profesionales",75
"palabras","palabras",75
"miren","miren",75
"servidores","servidores",75
"familiares","familiares",75
"loja","loja",75
"dolor","dolor",75
"correa","correa",75
"policia","policia",75
"muchas","muchas",75
"calidad","calidad",75
"posible","posible",75
"poder","poder",75
"recursos","recursos",75
"pandemia","pandemia",75
"publicos","publicos",75
"necesita","necesita",75
"mejores","mejores",75
"infraestructura","infraestructura",75
"oficial","oficial",70
"imagen","imagen",70
"seria","seria",70
"podemos","podemos",70
"ciustedadanos","ciustedadanos",70
"turno","turno",70
"controles","controles",70
"etc","etc",70
"pongan","pongan",70
"despues","despues",70
"noticias","noticias",70
"resto","resto",70
"claro","claro",70
"punto","punto",70
"unico","unico",70
"algun","algun",70
"esperan","esperan",70
"muestra","muestra",70
"razon","razon",70
"fila","fila",70
"hacernos","hacernos",70
"manos","manos",70
"muere","muere",70
"muertes","muertes",70
"ocultar","ocultar",70
"responsables","responsables",70
"sacar","sacar",70
"hizo","hizo",70
"grande","grande",70
"anos","anos",70
"presidente","presidente",70
"corona","corona",70
"dejan","dejan",70
"tungurahua","tungurahua",70
"guayas","guayas",70
"aparecen","aparecen",70
"tipo","tipo",65
"usted","usted",65
"paso","paso",65
"vaya","vaya",65
"mucha","mucha",65
"emergencia","emergencia",65
"infectado","infectado",65
"juego","juego",65
"recien","recien",65
"chino","chino",60
"chiste","chiste",50
"moral","moral",50
"poquito","poquito",50
"aparece","aparece",50
"interesan","interesan",50
"sra","sra",50
"trabajando","trabajando",50
"velar","velar",50
"autoridad","autoridad",50
"equipo","equipo",50
"urgente","urgente",50
"cara","cara",50
"primero","primero",50
"tarde","tarde",50
"electoral","electoral",50
"equipos","equipos",50
"delministerio","delministerio",50
"funcion","funcion",50
"numeros","numeros",50
"traer","traer",50
"viendo","viendo",50
"politicas","politicas",50
"alla","alla",50
"buscan","buscan",50
"distancia","distancia",50
"metros","metros",50
"cosas","cosas",50
"cifra","cifra",50
"medicamentos","medicamentos",50
"real","real",50
"tome","tome",50
"comun","comun",50
"italia","italia",50
"italiana","italiana",50
"leyes","leyes",50
"inconsciente","inconsciente",50
"ricos","ricos",50
"presenta","presenta",50
"sospechas","sospechas",50
"altos","altos",50
"asunto","asunto",50
"cartas","cartas",50
"menor","menor",50
"tratando","tratando",50
"vale","vale",50
"ves","ves",50
"buen","buen",50
"cuidar","cuidar",50
"nuevo","nuevo",50
"creen","creen",50
"enganan","enganan",50
"estadisticas","estadisticas",50
"atiende","atiende",50
"registrar","registrar",50
"hacerlo","hacerlo",50
"manana","manana",50
"quito","quito",50
"canto","canto",50
"cuadoctoro","cuadoctoro",50
"esmeraldas","esmeraldas",50
"lorenzo","lorenzo",50
"ocultando","ocultando",50
"economia","economia",50
"sacrifiquen","sacrifiquen",50
"pendiente","pendiente",50
"positivas","positivas",50
"conciencia","conciencia",50
"respondan","respondan",50
"unicamente","unicamente",50
"piso","piso",50
"quieran","quieran",50
"talvez","talvez",50
"aparte","aparte",50
"enfermedades","enfermedades",50
"crea","crea",50
"entidad","entidad",50
"jajajaja","jajajaja",50
"gobernador","gobernador",50
"ponen","ponen",50
"lamentablemente","lamentablemente",50
"ojos","ojos",50
"cree","cree",50
"cuerpos","cuerpos",50
"pidiendo","pidiendo",50
"otroo","otroo",50
"tres","tres",50
"lastima","lastima",50
"sirve","sirve",50
"millones","millones",50
"general","general",50
"irresponsables","irresponsables",50
"ordenes","ordenes",50
"contagiando","contagiando",50
"dificil","dificil",50
"focos","focos",50
"haber","haber",50
"habian","habian",50
"aumentan","aumentan",50
"nivel","nivel",50
"estadistica","estadistica",50
"nombres","nombres",50
"tampoco","tampoco",50
"atravesando","atravesando",50
"descubrimiento","descubrimiento",50
"kit","kit",50
"pregunto","pregunto",50
"empiecen","empiecen",50
"lindo","lindo",50
"solucion","solucion",50
"lista","lista",50
"premio","premio",50
"ejemplo","ejemplo",50
"bendiga","bendiga",50
"puedan","puedan",50
"error","error",50
"seguridad","seguridad",50
"llama","llama",50
"hermanos","hermanos",50
"implementos","implementos",50
"aislamiento","aislamiento",50
"pobres","pobres",50
"kits","kits",50
"atiendan","atiendan",50
"imagenes","imagenes",50
"toman","toman",50
"cuentan","cuentan",50
"auxiliares","auxiliares",50
"nota","nota",50
"salen","salen",50
"corregir","corregir",50
"confirmaron","confirmaron",50
"armadas","armadas",50
"enviar","enviar",50
